Nome completo do funcionário,Data de nascimento do funcionário,CPF do funcionário,Matrícula do funcionário,Cargo do funcionário,Setor de trabalho do funcionário,Data de início da ausência,Data de término da ausência,Total de dias de ausência,Código Internacional de Doenças (CID),Nome da doença (descrição do CID),Data da consulta médica,CRM do médico responsável,Nome do médico responsável,Local da consulta médica (hospital/clínica),Tipo de atendimento (ambulatorial/internação),Tipo de ausência (afastamento total/parcial),Laudo médico (sim/não),Tipo de laudo (perícia/consulta),Tratamento recomendado (medicação/repouso/outro),Data da emissão do atestado,Data de recebimento do atestado pelo RH,Histórico de ausências médicas anteriores,Horário da consulta médica,Regime de trabalho (CLT/Estatutário),Data de retorno ao trabalho prevista,Data de retorno ao trabalho efetiva,Tipo de vínculo empregatício (efetivo/temporário),Justificativa do médico para o afastamento,Status da análise do pedido de ausência (aprovado/pendente/rejeitado)
Olivia Moraes,1990-12-26,961.450.382-33,2128,Pizzaiolo,exercitationem,2024-03-10,2024-01-25,27,B0059,quis,2024-06-14,52845-S,Breno Oliveira,Peixoto Barros e Filhos,ambulatorial,afastamento total,sim,perícia,repouso,2024-04-26,2024-05-12,0,13:28:56,Estatutário,2024-06-12,2024-01-31,efetivo,Et aspernatur ipsum voluptas deleniti.,aprovado
Lucas Alves,1978-03-07,415.609.328-05,21902,Gerente de banco,dignissimos,2024-06-17,2024-06-02,30,B0096,autem,2024-05-06,93341-P,Maria Vitória Duarte,Caldeira,internação,afastamento parcial,não,consulta,repouso,2024-04-02,2024-01-18,0,20:59:20,Estatutário,2024-05-10,2024-02-13,efetivo,Vitae ea iste quae.,rejeitado
Dr. João Guilherme Costela,1994-03-02,120.398.546-06,37049,Oceanógrafo,dolorum,2024-05-09,2024-03-09,20,B0087,quaerat,2024-02-01,87505-P,Srta. Mariane Moura,Almeida da Paz Ltda.,internação,afastamento total,sim,consulta,medicação,2024-05-14,2024-03-20,2,06:00:53,Estatutário,2024-03-18,2024-06-06,temporário,Quidem recusandae officiis sunt ex explicabo.,pendente
Thales Araújo,1998-10-23,023.978.465-00,34525,Gagsman,aspernatur,2024-05-12,2024-01-16,27,C0037,aperiam,2024-01-14,13071-P,Lucca Novaes,Farias,internação,afastamento total,sim,consulta,outro,2024-05-20,2024-05-30,2,19:09:51,CLT,2024-05-14,2024-03-05,temporário,Corporis ea eaque aspernatur.,rejeitado
Vitor Hugo Santos,1972-04-08,481.290.567-20,53997,Sonoplasta,atque,2024-04-08,2024-05-21,8,A0026,voluptates,2024-06-14,92425-S,Laís Nascimento,Campos Dias - ME,internação,afastamento total,sim,perícia,medicação,2024-01-30,2024-02-03,0,09:22:34,CLT,2024-03-20,2024-03-14,efetivo,Nesciunt aliquam fugiat molestiae iste nam quae.,rejeitado
Sr. Henrique da Luz,1961-04-28,576.234.908-00,32109,Massagista,illo,2024-04-24,2024-01-04,20,D0068,consequuntur,2024-02-01,57229-P,Lucas Gabriel Araújo,Viana Cardoso S.A.,ambulatorial,afastamento parcial,sim,consulta,outro,2024-05-12,2024-05-15,5,02:33:30,Estatutário,2024-04-13,2024-03-10,efetivo,Accusamus repellat id dolores eveniet praesentium.,aprovado
Amanda Cavalcanti,1986-11-10,396.812.540-15,80484,Psicomotricista,atque,2024-01-14,2024-03-05,4,B0038,maxime,2024-03-16,54189-P,Yuri Vieira,Costela da Rosa S.A.,internação,afastamento parcial,sim,consulta,medicação,2024-06-02,2024-03-09,2,00:32:04,CLT,2024-05-10,2024-01-12,efetivo,Eum ratione ducimus velit aut quibusdam tempore.,pendente
Ana Lívia Almeida,1989-03-20,018.236.795-95,79318,Profissional de rádio e tv,modi,2024-03-24,2024-01-25,27,B0062,occaecati,2024-01-19,81410-S,Sr. Enzo Gabriel das Neves,Pires,internação,afastamento parcial,sim,perícia,repouso,2024-04-18,2024-03-06,4,07:51:11,Estatutário,2024-05-09,2024-05-31,temporário,Nesciunt deleniti nemo vitae non eveniet fugiat fugit.,rejeitado
Clara Lima,1998-06-15,629.750.381-86,60757,Leiloeiro,rerum,2024-01-27,2024-04-18,8,A0045,id,2024-01-18,92381-P,Marina Sales,da Costa da Paz S/A,ambulatorial,afastamento total,não,consulta,outro,2024-01-29,2024-03-05,5,19:05:39,CLT,2024-01-30,2024-02-11,temporário,Distinctio tempore magni provident officiis vel.,aprovado
Ana Clara Almeida,1993-11-06,607.951.348-00,1714,Engenheiro mecânico,molestias,2024-04-08,2024-03-26,7,A0097,magnam,2024-01-06,89761-S,Luigi Duarte,Duarte S.A.,internação,afastamento parcial,não,perícia,outro,2024-02-12,2024-03-01,1,23:46:38,Estatutário,2024-05-04,2024-04-22,efetivo,Temporibus facilis labore nam sapiente.,rejeitado
Vitor Hugo Gomes,1981-03-08,712.049.365-52,76718,Serralheiro,commodi,2024-06-07,2024-03-06,25,D0043,optio,2024-06-10,48256-S,Levi Souza,Porto,ambulatorial,afastamento parcial,sim,consulta,repouso,2024-05-19,2024-05-10,5,02:03:25,Estatutário,2024-01-01,2024-04-07,efetivo,Molestias in porro totam minima eum omnis.,pendente
Olivia Silveira,2004-09-15,152.307.498-14,90460,Microfonista,nemo,2024-04-10,2024-04-26,21,A0037,excepturi,2024-04-20,96051-S,Beatriz Ribeiro,Castro Ferreira S.A.,internação,afastamento total,sim,consulta,outro,2024-01-29,2024-03-10,2,06:25:42,Estatutário,2024-03-25,2024-04-17,temporário,Quam earum ipsam excepturi ipsam.,aprovado
Davi Pinto,1963-08-10,387.560.924-74,79362,Astronauta,facilis,2024-01-05,2024-04-17,4,D0024,ipsa,2024-04-29,69758-P,Sr. Antônio Moreira,Melo Ltda.,internação,afastamento parcial,sim,perícia,outro,2024-03-15,2024-02-04,4,14:20:49,Estatutário,2024-04-13,2024-01-17,temporário,Illo deleniti omnis necessitatibus eaque.,pendente
Enrico da Luz,1987-05-07,683.402.157-44,72619,Borracheiro,quidem,2024-02-19,2024-04-24,16,A0044,officia,2024-05-03,50647-S,Marcos Vinicius Freitas,Mendes,internação,afastamento total,sim,perícia,outro,2024-04-30,2024-02-02,3,00:43:10,Estatutário,2024-06-05,2024-06-02,efetivo,Iste consequatur in et.,pendente
Sra. Marina Rezende,1977-11-21,529.306.148-89,62015,Controlador de vôo,numquam,2024-05-28,2024-06-07,18,A0024,voluptatibus,2024-03-04,41053-P,Bruna Moraes,Sales,internação,afastamento total,sim,perícia,outro,2024-03-12,2024-03-31,0,02:10:59,CLT,2024-02-18,2024-04-24,temporário,Aliquid sint sed reiciendis ullam incidunt.,rejeitado
Leandro Santos,1984-03-23,826.091.547-20,35074,Aeronauta,natus,2024-04-20,2024-06-05,3,B0037,vel,2024-03-08,11051-P,Dra. Ana da Rocha,da Paz - EI,internação,afastamento total,não,consulta,repouso,2024-05-09,2024-05-12,0,23:43:51,CLT,2024-05-24,2024-05-30,temporário,Tenetur animi expedita earum aliquid suscipit id.,pendente
Milena Novaes,1959-05-23,973.652.481-73,17277,Saxofonista,cupiditate,2024-05-22,2024-03-29,17,D0034,ex,2024-06-13,29645-S,Pedro Henrique Moura,Moraes,internação,afastamento parcial,sim,perícia,repouso,2024-05-02,2024-06-17,0,23:39:42,Estatutário,2024-05-12,2024-01-01,efetivo,Ex repellendus impedit a quisquam ipsam libero.,aprovado
Maria Alice Peixoto,1962-06-08,517.026.893-95,4386,Forneiro,corporis,2024-06-09,2024-03-06,21,D0017,explicabo,2024-01-05,58699-S,Alícia Monteiro,Gonçalves,ambulatorial,afastamento total,não,consulta,medicação,2024-04-01,2024-02-04,2,15:21:05,CLT,2024-01-20,2024-02-05,efetivo,Commodi commodi eius.,rejeitado
Alana Gomes,1969-08-06,640.382.971-87,52887,Vendedor,maxime,2024-03-03,2024-05-08,28,D0065,expedita,2024-03-04,37414-S,Laís Farias,da Paz S.A.,ambulatorial,afastamento parcial,sim,perícia,repouso,2024-05-09,2024-03-10,4,20:59:34,Estatutário,2024-03-18,2024-03-11,temporário,Quidem voluptatum unde laborum pariatur modi quisquam.,pendente
Gabrielly Melo,1994-06-14,719.630.852-21,87287,Agente comunitário de saúde,quia,2024-06-08,2024-01-03,6,D0042,magnam,2024-04-14,19332-P,Dra. Sabrina Carvalho,Gonçalves S.A.,ambulatorial,afastamento parcial,sim,consulta,repouso,2024-01-26,2024-06-10,1,05:13:02,Estatutário,2024-05-23,2024-05-01,efetivo,Consectetur magnam impedit quos voluptates.,aprovado
Bruna Teixeira,1989-11-01,598.310.746-10,39862,Restaurador,dignissimos,2024-02-27,2024-03-03,4,C0037,dolor,2024-02-12,95327-P,Samuel Costela,da Conceição,ambulatorial,afastamento parcial,sim,perícia,outro,2024-02-24,2024-04-17,5,14:51:39,Estatutário,2024-03-17,2024-03-27,temporário,Ipsam eos beatae.,rejeitado
Dr. Vitor Gabriel Viana,2002-08-10,279.384.615-55,34327,Lubrificador de máquinas,voluptates,2024-03-02,2024-03-13,27,D0070,explicabo,2024-05-03,33820-P,Dra. Maria Sophia Silveira,Farias da Mota - EI,ambulatorial,afastamento total,não,consulta,outro,2024-06-14,2024-05-09,1,10:15:24,CLT,2024-01-07,2024-02-02,efetivo,Accusamus reiciendis incidunt nemo ipsam occaecati facere.,rejeitado
Bianca Araújo,1967-06-01,645.987.301-10,10441,Biólogo,dignissimos,2024-01-02,2024-04-23,1,B0065,impedit,2024-05-21,68570-P,Calebe Correia,Martins,internação,afastamento parcial,sim,perícia,outro,2024-01-14,2024-04-01,3,04:22:35,CLT,2024-01-02,2024-04-20,temporário,Dolorem doloribus in laudantium.,rejeitado
Caroline Aragão,1993-06-14,569.870.421-01,17828,Técnico em óptica,sint,2024-06-02,2024-04-04,5,A0081,ipsa,2024-03-10,21507-S,Dra. Milena Gonçalves,Viana Castro S.A.,ambulatorial,afastamento total,não,consulta,repouso,2024-03-07,2024-01-04,1,09:31:16,CLT,2024-01-05,2024-05-02,efetivo,Laudantium ducimus doloribus corrupti.,pendente
Carlos Eduardo Dias,1963-09-02,291.834.750-79,65324,Agrônomo,placeat,2024-04-23,2024-03-17,30,A002,veniam,2024-05-26,34390-S,Joaquim Costela,Azevedo Mendes e Filhos,internação,afastamento total,sim,perícia,outro,2024-05-09,2024-04-18,1,11:53:33,CLT,2024-01-19,2024-03-09,temporário,Dolores iure odio quo praesentium maiores.,pendente
Elisa Cunha,1963-10-06,374.068.921-87,81777,Sapateiro,itaque,2024-02-13,2024-03-09,28,B0083,velit,2024-05-04,46434-S,Nicole Caldeira,Barros,ambulatorial,afastamento total,sim,consulta,repouso,2024-04-26,2024-04-22,2,17:55:12,Estatutário,2024-02-12,2024-02-26,efetivo,Neque ipsum eligendi nemo soluta.,aprovado
Kevin Gomes,1993-05-09,085.726.491-58,61808,Assistente social,esse,2024-04-22,2024-05-01,9,C0015,aliquam,2024-06-09,53280-S,Maysa Ribeiro,Moura,internação,afastamento total,não,consulta,repouso,2024-03-26,2024-02-25,3,19:16:12,CLT,2024-05-30,2024-02-28,efetivo,Non consequatur neque placeat nulla.,rejeitado
Erick da Luz,1958-08-08,013.648.297-03,96417,Guardador de veículos,aliquid,2024-04-27,2024-01-11,10,B0071,sit,2024-01-01,56343-S,Dra. Elisa Duarte,Moraes,internação,afastamento parcial,não,perícia,repouso,2024-01-25,2024-04-03,5,03:22:50,CLT,2024-01-23,2024-04-07,efetivo,Maxime omnis consectetur dolore repellat quaerat.,pendente
Laura Melo,1962-10-10,513.478.206-71,26897,Nefrologista,exercitationem,2024-05-02,2024-04-27,21,C0095,excepturi,2024-03-24,61902-P,Enzo Vieira,Castro,ambulatorial,afastamento parcial,sim,consulta,medicação,2024-04-30,2024-02-26,5,10:30:14,CLT,2024-02-12,2024-01-25,temporário,Eius qui vero officiis quos pariatur.,rejeitado
Carolina Rodrigues,2003-10-31,413.869.520-60,49826,Patinador,ipsam,2024-05-02,2024-03-30,8,A0025,tempore,2024-04-06,93824-S,Ana Cardoso,da Cunha Carvalho - EI,ambulatorial,afastamento parcial,não,perícia,outro,2024-05-11,2024-04-28,3,06:20:43,Estatutário,2024-01-26,2024-02-18,temporário,Mollitia sequi minima.,pendente
Bernardo da Luz,1970-03-22,563.479.812-46,34226,Veterinário,velit,2024-01-27,2024-05-08,12,D0023,labore,2024-05-23,47535-S,Enzo Gabriel Mendes,Viana Sales S.A.,ambulatorial,afastamento total,não,perícia,repouso,2024-01-08,2024-03-12,2,19:08:18,Estatutário,2024-02-21,2024-04-21,temporário,Expedita iusto beatae sunt suscipit.,pendente
Antônio Jesus,1992-12-27,897.210.534-14,95414,Profissional de recursos humanos,saepe,2024-06-12,2024-04-11,7,C0061,aperiam,2024-03-30,28521-S,Isabel da Paz,da Costa,ambulatorial,afastamento parcial,não,consulta,repouso,2024-03-22,2024-02-21,1,08:04:48,Estatutário,2024-04-26,2024-06-03,temporário,Adipisci ratione ab tempora.,aprovado
Giovanna Aragão,1966-08-13,812.347.905-05,51057,Pesquisador,aut,2024-01-31,2024-04-21,27,C0069,porro,2024-04-04,38333-P,André Lopes,da Luz,ambulatorial,afastamento parcial,não,consulta,medicação,2024-06-13,2024-05-30,2,11:31:48,CLT,2024-02-05,2024-04-15,efetivo,Aut expedita nam voluptatum esse.,rejeitado
Agatha Melo,2003-01-06,731.945.802-05,79166,Engraxate,veritatis,2024-02-08,2024-03-05,26,C0095,error,2024-04-24,64757-P,Sra. Giovanna Azevedo,Nogueira - ME,internação,afastamento parcial,não,perícia,outro,2024-01-30,2024-05-02,3,01:38:03,Estatutário,2024-05-28,2024-01-14,efetivo,Necessitatibus minima temporibus.,rejeitado
Francisco Silva,1985-07-05,935.142.607-61,12774,Profissional de relacionamento com investidores RI,veritatis,2024-01-23,2024-05-14,19,A0090,rem,2024-02-22,40293-S,Manuela da Rosa,Correia,internação,afastamento total,não,perícia,repouso,2024-03-01,2024-01-27,3,19:33:20,Estatutário,2024-04-10,2024-03-21,efetivo,Quia eos quam ullam cum praesentium.,rejeitado
Amanda Nunes,1968-01-03,405.768.231-71,64239,Conferente de expedição,sequi,2024-01-11,2024-06-14,2,B0060,odio,2024-06-06,89652-S,Dr. Pedro Miguel Nascimento,Lima,ambulatorial,afastamento total,sim,consulta,repouso,2024-05-12,2024-03-05,1,00:48:22,CLT,2024-05-22,2024-05-14,temporário,Repellat eum sit laboriosam.,pendente
Dr. Yago Teixeira,2003-12-01,439.186.270-04,20255,Contra regra,modi,2024-02-15,2024-03-24,2,C009,eos,2024-05-09,32372-P,Alexandre Souza,Moraes S.A.,ambulatorial,afastamento total,sim,perícia,repouso,2024-04-27,2024-06-12,3,10:56:31,Estatutário,2024-06-12,2024-05-19,temporário,In facere perferendis tenetur molestias rem quam.,aprovado
Dra. Yasmin Peixoto,1993-01-15,874.526.910-67,26963,Aeroviário,excepturi,2024-02-06,2024-01-01,7,D0027,occaecati,2024-02-21,29683-P,Mariana Aragão,Jesus Ramos S.A.,internação,afastamento total,não,perícia,medicação,2024-05-29,2024-04-06,4,08:36:42,Estatutário,2024-03-25,2024-03-31,efetivo,Alias aliquam hic similique praesentium in eius.,pendente
Maria Cecília Caldeira,1989-02-18,490.657.281-20,50414,Dedetizador,facere,2024-01-16,2024-05-03,13,C0042,ducimus,2024-02-18,68353-P,Davi Lucca Fogaça,Fogaça - ME,internação,afastamento parcial,não,consulta,outro,2024-04-13,2024-05-26,1,12:04:33,CLT,2024-01-18,2024-03-02,temporário,Error quos quasi similique blanditiis nihil.,aprovado
João Gabriel Monteiro,2000-09-20,350.681.297-12,61892,Parteira tradicional,architecto,2024-03-05,2024-04-24,22,D0079,debitis,2024-06-09,61198-P,Bruno Novaes,Moura S.A.,ambulatorial,afastamento parcial,não,consulta,medicação,2024-04-06,2024-03-31,5,18:25:54,CLT,2024-01-23,2024-01-18,temporário,Soluta praesentium quaerat odit.,rejeitado
Lorena Lima,1999-10-01,764.189.305-84,95044,Diplomata,eum,2024-02-03,2024-03-23,29,C0073,non,2024-05-10,55268-S,Ana Lívia Fernandes,das Neves Lima Ltda.,internação,afastamento parcial,não,perícia,repouso,2024-04-18,2024-04-01,4,02:21:44,Estatutário,2024-05-23,2024-04-30,temporário,Iure eligendi saepe consectetur maiores illum.,rejeitado
Noah Pires,1981-01-01,915.407.236-07,44329,Sushiman,expedita,2024-01-23,2024-06-15,17,D0022,iure,2024-03-20,95072-P,Letícia Almeida,Rodrigues Rocha S/A,internação,afastamento total,sim,consulta,medicação,2024-05-20,2024-05-22,4,20:32:57,Estatutário,2024-05-01,2024-02-06,efetivo,Nesciunt optio minus beatae laborum officiis.,pendente
Dra. Agatha Cardoso,1997-05-24,931.846.025-24,74227,Lixeiro/Coletor de lixo,illum,2024-02-09,2024-04-04,6,C0030,consequatur,2024-01-29,24071-P,Juan da Cunha,Farias Dias - EI,ambulatorial,afastamento parcial,sim,consulta,repouso,2024-01-13,2024-04-07,4,18:08:12,CLT,2024-05-13,2024-05-31,efetivo,Animi pariatur qui ducimus exercitationem cumque aperiam.,aprovado
Maria Eduarda Fogaça,1995-05-28,263.507.489-56,55523,Teólogo,fugiat,2024-05-20,2024-02-22,22,C0026,ipsum,2024-03-29,79070-P,Maria Alice Porto,Azevedo Rocha - EI,ambulatorial,afastamento parcial,sim,consulta,repouso,2024-05-26,2024-02-01,2,14:49:59,Estatutário,2024-06-15,2024-03-23,efetivo,Atque maxime tempore doloremque neque.,pendente
Pedro Henrique Alves,1985-08-06,907.438.261-40,50767,Produtor musical,sapiente,2024-01-10,2024-05-04,18,C0018,eos,2024-06-09,72162-P,Olivia Fogaça,Viana,internação,afastamento parcial,sim,consulta,repouso,2024-02-25,2024-04-15,5,03:11:36,CLT,2024-03-18,2024-01-07,efetivo,Laboriosam quam corporis dolore nulla repellat beatae.,aprovado
Dra. Isis da Rosa,1975-10-31,634.859.207-38,58930,Editor,porro,2024-05-24,2024-01-07,29,A0032,atque,2024-05-29,29533-P,Joaquim Nunes,Cardoso,ambulatorial,afastamento total,sim,perícia,medicação,2024-05-28,2024-06-14,1,00:37:41,CLT,2024-02-24,2024-01-09,temporário,Eveniet doloribus similique maxime doloremque facere.,rejeitado
Yago Dias,2005-11-04,349.561.827-91,90484,Químico,debitis,2024-04-15,2024-05-24,25,C0065,sequi,2024-04-17,27685-P,Heloísa da Mata,Duarte,ambulatorial,afastamento total,não,perícia,medicação,2024-03-21,2024-03-19,5,22:33:49,Estatutário,2024-03-10,2024-04-22,temporário,Quibusdam hic molestiae quibusdam.,rejeitado
Ana Sophia Viana,1986-12-03,258.376.410-17,22552,Anestesiologista,distinctio,2024-02-16,2024-06-05,14,C0056,rerum,2024-05-03,94803-P,Dr. Renan Mendes,Peixoto,ambulatorial,afastamento total,não,perícia,medicação,2024-01-26,2024-03-19,3,05:52:03,CLT,2024-05-26,2024-03-16,temporário,Soluta soluta deleniti cumque iure in quae ipsum.,pendente
Lucas Gabriel Oliveira,1973-08-14,736.421.095-43,83579,Engenheiro de energia,dolores,2024-04-20,2024-05-24,11,B0061,animi,2024-04-23,54415-S,Luiza Cardoso,Moreira S/A,ambulatorial,afastamento total,sim,perícia,outro,2024-02-23,2024-01-12,4,00:59:48,Estatutário,2024-01-26,2024-01-16,efetivo,Nihil nihil similique doloremque.,aprovado
Sr. Emanuel Caldeira,1975-05-14,413.057.928-23,3981,Tesoureiro,amet,2024-01-12,2024-02-01,7,B0055,recusandae,2024-02-12,43169-P,Benício Ferreira,Pinto,ambulatorial,afastamento parcial,não,perícia,medicação,2024-01-10,2024-01-22,5,00:18:23,Estatutário,2024-01-24,2024-01-08,efetivo,Amet et cum sed explicabo minus.,rejeitado
Ana Luiza Martins,2002-05-08,863.927.540-83,9961,Cameraman,occaecati,2024-02-01,2024-03-25,9,A0014,earum,2024-02-22,62212-S,Vitor da Rocha,Oliveira,internação,afastamento parcial,sim,consulta,outro,2024-02-05,2024-04-09,1,15:36:35,Estatutário,2024-06-07,2024-03-04,temporário,Reiciendis nihil consequatur veniam hic.,pendente
Nicole Costa,1970-01-26,310.564.728-71,98125,Secretária,repudiandae,2024-02-10,2024-03-27,20,C0082,quisquam,2024-05-19,53269-S,Maitê Moraes,Mendes,ambulatorial,afastamento parcial,sim,consulta,outro,2024-03-09,2024-06-08,2,10:41:49,CLT,2024-03-02,2024-02-12,temporário,Similique nostrum voluptas sapiente minus quae.,pendente
Luna Cunha,1973-10-08,715.094.863-48,70610,Atleta de tiro com arco,aspernatur,2024-01-19,2024-01-28,29,D0092,ipsam,2024-04-16,39691-P,Maria Eduarda das Neves,Lopes,internação,afastamento total,sim,consulta,medicação,2024-05-18,2024-03-17,2,01:24:06,Estatutário,2024-04-25,2024-01-13,efetivo,Reiciendis qui fuga hic sed.,aprovado
Felipe Teixeira,1999-07-29,206.934.587-47,62421,Terapeuta ocupacional,dolorem,2024-05-16,2024-01-28,9,D0080,corrupti,2024-01-02,17441-S,Kevin da Cruz,Duarte S/A,internação,afastamento parcial,sim,perícia,medicação,2024-02-07,2024-01-17,4,04:48:18,Estatutário,2024-06-13,2024-02-02,temporário,Error maxime in porro architecto amet minus commodi.,aprovado
Lucas Gabriel Cunha,1963-04-29,682.731.495-28,34906,Profissional de reciclagem,consequuntur,2024-02-09,2024-06-10,21,A0037,ad,2024-05-14,46265-P,Srta. Mariana Mendes,Correia,ambulatorial,afastamento parcial,sim,perícia,repouso,2024-03-12,2024-05-04,5,06:23:07,CLT,2024-02-27,2024-06-09,efetivo,Assumenda tempore necessitatibus nobis nemo doloribus.,pendente
Guilherme Nunes,1989-09-19,081.365.492-06,17896,Endocrinologista,ab,2024-05-21,2024-03-10,5,D0073,possimus,2024-03-01,99933-P,Ana Clara Oliveira,Novaes Aragão e Filhos,ambulatorial,afastamento total,sim,consulta,repouso,2024-02-06,2024-05-10,3,15:38:14,Estatutário,2024-01-27,2024-05-28,efetivo,Iure nesciunt illo voluptas consectetur vero sapiente.,pendente
Juan Carvalho,1997-11-30,847.236.915-37,44456,Engenheiro de computação,placeat,2024-05-04,2024-01-26,1,A006,amet,2024-02-11,96868-P,João Miguel da Conceição,da Costa,ambulatorial,afastamento parcial,sim,consulta,repouso,2024-05-04,2024-01-12,3,11:35:09,Estatutário,2024-02-13,2024-04-04,temporário,Vero necessitatibus quam dolore fugit ea rerum.,aprovado
Lavínia Costela,1986-02-18,317.089.652-03,50691,Bartender,deleniti,2024-01-21,2024-01-27,1,B0020,ex,2024-01-01,36387-S,Dr. Erick Viana,da Paz Ribeiro S.A.,internação,afastamento parcial,não,consulta,repouso,2024-01-14,2024-05-30,2,04:40:00,Estatutário,2024-05-03,2024-05-25,temporário,Temporibus rem ullam nihil ratione distinctio deserunt.,rejeitado
Bruno Freitas,1965-03-21,639.825.701-40,77592,Ortodontista,nesciunt,2024-01-22,2024-04-05,9,B0016,atque,2024-04-06,98903-S,Calebe Teixeira,Novaes - ME,internação,afastamento parcial,não,consulta,medicação,2024-04-12,2024-02-12,0,08:05:44,CLT,2024-02-23,2024-04-22,temporário,Voluptas repellendus perspiciatis sequi culpa.,rejeitado
Murilo da Paz,1978-08-23,584.207.139-88,96579,Juiz de futebol,aliquid,2024-05-20,2024-05-27,17,A0092,doloremque,2024-05-21,49513-S,Bianca Caldeira,Viana Rocha S/A,ambulatorial,afastamento parcial,não,consulta,repouso,2024-03-19,2024-03-25,1,16:08:15,Estatutário,2024-05-22,2024-04-17,temporário,Velit atque quibusdam alias.,rejeitado
Murilo Costa,1959-09-28,470.186.593-10,78285,Alergologista,voluptatem,2024-04-04,2024-03-23,7,A0031,voluptatum,2024-03-25,24086-S,Sra. Maria Fernanda Correia,Alves e Filhos,ambulatorial,afastamento parcial,não,consulta,medicação,2024-03-29,2024-02-23,1,02:01:29,CLT,2024-06-07,2024-02-07,temporário,Repellendus quaerat minima illum ratione doloremque.,pendente
Elisa Lima,1977-02-21,738.016.954-84,23558,Quitandeiro,nihil,2024-04-15,2024-02-13,12,D0031,consequatur,2024-02-21,28906-P,Nathan Barros,da Conceição Porto e Filhos,internação,afastamento parcial,sim,consulta,medicação,2024-01-27,2024-04-20,1,12:28:47,Estatutário,2024-02-04,2024-04-25,efetivo,Esse ex possimus perferendis magni cupiditate laboriosam.,rejeitado
